"TIME","CH1","CH2"
-1.2328e-01,0.38,-0.242
-1.2326e-01,0.386,-0.244
-1.2324e-01,0.392,-0.246
-1.2322e-01,0.388,-0.242
-1.2320e-01,0.394,-0.248
-1.2318e-01,0.386,-0.244
-1.2316e-01,0.384,-0.248
-1.2314e-01,0.39,-0.252
-1.2312e-01,0.384,-0.242
-1.2310e-01,0.384,-0.244
-1.2308e-01,0.392,-0.246
-1.2306e-01,0.392,-0.242
-1.2304e-01,0.388,-0.252
-1.2302e-01,0.386,-0.246
-1.2300e-01,0.388,-0.246
-1.2298e-01,0.382,-0.24
-1.2296e-01,0.384,-0.242
-1.2294e-01,0.386,-0.244
-1.2292e-01,0.388,-0.244
-1.2290e-01,0.388,-0.246
-1.2288e-01,0.39,-0.242
-1.2286e-01,0.386,-0.246
-1.2284e-01,0.386,-0.248
-1.2282e-01,0.39,-0.244
-1.2280e-01,0.388,-0.248
-1.2278e-01,0.382,-0.246
-1.2276e-01,0.386,-0.252
-1.2274e-01,0.386,-0.248
-1.2272e-01,0.392,-0.25
-1.2270e-01,0.384,-0.244
-1.2268e-01,0.386,-0.256
-1.2266e-01,0.384,-0.246
-1.2264e-01,0.392,-0.252
-1.2262e-01,0.394,-0.246
-1.2260e-01,0.388,-0.254
-1.2258e-01,0.388,-0.248
-1.2256e-01,0.384,-0.25
-1.2254e-01,0.392,-0.248
-1.2252e-01,0.382,-0.242
-1.2250e-01,0.388,-0.25
-1.2248e-01,0.392,-0.252
-1.2246e-01,0.384,-0.25
-1.2244e-01,0.388,-0.252
-1.2242e-01,0.382,-0.248
-1.2240e-01,0.388,-0.254
-1.2238e-01,0.388,-0.246
-1.2236e-01,0.386,-0.252
-1.2234e-01,0.386,-0.254
-1.2232e-01,0.388,-0.244
-1.2230e-01,0.386,-0.25
-1.2228e-01,0.384,-0.248
-1.2226e-01,0.392,-0.242
-1.2224e-01,0.386,-0.252
-1.2222e-01,0.39,-0.25
-1.2220e-01,0.384,-0.25
-1.2218e-01,0.386,-0.252
-1.2216e-01,0.392,-0.244
-1.2214e-01,0.39,-0.25
-1.2212e-01,0.392,-0.248
-1.2210e-01,0.388,-0.252
-1.2208e-01,0.386,-0.25
-1.2206e-01,0.382,-0.256
-1.2204e-01,0.39,-0.248
-1.2202e-01,0.388,-0.256
-1.2200e-01,0.388,-0.242
-1.2198e-01,0.388,-0.244
-1.2196e-01,0.388,-0.248
-1.2194e-01,0.384,-0.252
-1.2192e-01,0.382,-0.248
-1.2190e-01,0.382,-0.248
-1.2188e-01,0.388,-0.252
-1.2186e-01,0.388,-0.25
-1.2184e-01,0.382,-0.248
-1.2182e-01,0.386,-0.246
-1.2180e-01,0.39,-0.254
-1.2178e-01,0.384,-0.246
-1.2176e-01,0.39,-0.252
-1.2174e-01,0.382,-0.25
-1.2172e-01,0.392,-0.252
-1.2170e-01,0.392,-0.254
-1.2168e-01,0.386,-0.254
-1.2166e-01,0.384,-0.254
-1.2164e-01,0.386,-0.252
-1.2162e-01,0.384,-0.256
-1.2160e-01,0.388,-0.252
-1.2158e-01,0.386,-0.248
-1.2156e-01,0.386,-0.25
-1.2154e-01,0.382,-0.25
-1.2152e-01,0.382,-0.25
-1.2150e-01,0.392,-0.252
-1.2148e-01,0.384,-0.248
-1.2146e-01,0.386,-0.252
-1.2144e-01,0.392,-0.25
-1.2142e-01,0.39,-0.252
-1.2140e-01,0.388,-0.254
-1.2138e-01,0.388,-0.25
-1.2136e-01,0.382,-0.256
-1.2134e-01,0.392,-0.248
-1.2132e-01,0.392,-0.256
-1.2130e-01,0.384,-0.25
-1.2128e-01,0.384,-0.254
-1.2126e-01,0.394,-0.256
-1.2124e-01,0.388,-0.25
-1.2122e-01,0.392,-0.254
-1.2120e-01,0.386,-0.25
-1.2118e-01,0.388,-0.252
-1.2116e-01,0.392,-0.254
-1.2114e-01,0.386,-0.252
-1.2112e-01,0.384,-0.256
-1.2110e-01,0.388,-0.246
-1.2108e-01,0.384,-0.252
-1.2106e-01,0.388,-0.26
-1.2104e-01,0.39,-0.25
-1.2102e-01,0.388,-0.252
-1.2100e-01,0.388,-0.25
-1.2098e-01,0.384,-0.25
-1.2096e-01,0.388,-0.258
-1.2094e-01,0.388,-0.25
-1.2092e-01,0.392,-0.254
-1.2090e-01,0.39,-0.246
-1.2088e-01,0.384,-0.258
-1.2086e-01,0.384,-0.254
-1.2084e-01,0.386,-0.254
-1.2082e-01,0.386,-0.254
-1.2080e-01,0.388,-0.254
-1.2078e-01,0.386,-0.252
-1.2076e-01,0.38,-0.262
-1.2074e-01,0.384,-0.254
-1.2072e-01,0.386,-0.254
-1.2070e-01,0.388,-0.256
-1.2068e-01,0.39,-0.252
-1.2066e-01,0.384,-0.254
-1.2064e-01,0.386,-0.256
-1.2062e-01,0.39,-0.256
-1.2060e-01,0.392,-0.256
-1.2058e-01,0.388,-0.252
-1.2056e-01,0.388,-0.258
-1.2054e-01,0.39,-0.26
-1.2052e-01,0.382,-0.256
-1.2050e-01,0.384,-0.256
-1.2048e-01,0.386,-0.25
-1.2046e-01,0.386,-0.256
-1.2044e-01,0.386,-0.254
-1.2042e-01,0.384,-0.254
-1.2040e-01,0.39,-0.256
-1.2038e-01,0.382,-0.256
-1.2036e-01,0.39,-0.258
-1.2034e-01,0.388,-0.262
-1.2032e-01,0.388,-0.254
-1.2030e-01,0.386,-0.254
-1.2028e-01,0.384,-0.256
-1.2026e-01,0.386,-0.26
-1.2024e-01,0.394,-0.256
-1.2022e-01,0.392,-0.26
-1.2020e-01,0.386,-0.256
-1.2018e-01,0.392,-0.254
-1.2016e-01,0.384,-0.256
-1.2014e-01,0.384,-0.256
-1.2012e-01,0.392,-0.254
-1.2010e-01,0.39,-0.254
-1.2008e-01,0.388,-0.262
-1.2006e-01,0.39,-0.256
-1.2004e-01,0.38,-0.26
-1.2002e-01,0.388,-0.26
-1.2000e-01,0.39,-0.26
-1.1998e-01,0.392,-0.264
-1.1996e-01,0.388,-0.256
-1.1994e-01,0.384,-0.258
-1.1992e-01,0.386,-0.252
-1.1990e-01,0.382,-0.254
-1.1988e-01,0.392,-0.254
-1.1986e-01,0.386,-0.258
-1.1984e-01,0.384,-0.254
-1.1982e-01,0.388,-0.256
-1.1980e-01,0.39,-0.258
-1.1978e-01,0.392,-0.26
-1.1976e-01,0.384,-0.262
-1.1974e-01,0.39,-0.26
-1.1972e-01,0.386,-0.264
-1.1970e-01,0.384,-0.254
-1.1968e-01,0.392,-0.256
-1.1966e-01,0.386,-0.256
-1.1964e-01,0.386,-0.258
-1.1962e-01,0.384,-0.262
-1.1960e-01,0.386,-0.26
-1.1958e-01,0.396,-0.26
-1.1956e-01,0.39,-0.264
-1.1954e-01,0.384,-0.26
-1.1952e-01,0.384,-0.258
-1.1950e-01,0.388,-0.26
-1.1948e-01,0.386,-0.258
-1.1946e-01,0.388,-0.258
-1.1944e-01,0.396,-0.264
-1.1942e-01,0.384,-0.262
-1.1940e-01,0.388,-0.262
-1.1938e-01,0.39,-0.258
-1.1936e-01,0.384,-0.258
